CODIGO NNM,DESCRIPCION NNM,Codigo SOM,DESCRIPCIÓN SOM
20809,"OCLUSION, CAUTERIZACION O TAPONAMIENTO DEL PUNTO LAGRIMAL - UNILATERAL -",,
02.09,LASER,CELDA VACÍA,
20901,FOTOCOAGULACION CON YAG LASER                     ,1-020901,FOTOCOAGULACION CON YAG LASER                         
20902,FOTOCOAGULACION CON LASER ONLY GREEN              ,1-020902,FOTOCOAGULACION CON LASER ONLY GREEN                  
20903,FOTOCOAGULACION CON DIODO LASER                   ,7-020903,FOTOCOAGULACION CON DIODO LASER                       
20904,FOTOCIRUGIA CON DYE LASER                         ,1-020904,FOTOCIRUGIA CON DYE LASER                             
20905,FOTOCIRUGIA CON KRIPTON LASER                      ,1-020905,FOTOCIRUGIA CON KRITON LASER                          
20906,IRIDECTOMIA POR LASER                             ,1-020906,IRIDECTOMIA POR LASER                                 
20907,TRABECULOPLASTIA CON LASER                        ,1-020907,TRABECULOPLASTIA CON LASER                            
02.10,TRASPLANTE,CELDA VACÍA,
21001,TRASPLANTE DE CORNEA,7-026002,TRANSPLANTE DE CORNEA                                 
21002,"ABLACION DE CORNEA, ESCLERA O GLOBO OCULAR EN PROCEDIMIENTO DE TRASPLANTE",,
21003,INJERTO LAMELAR ,7-026047,MODULO DE INJERTO LAMELAR Y PENETRANTE                
03.,03. OPERACIONES OTORRINOLARINGOLOGICAS ,CELDA VACÍA,
03.01,OPERACIONES EN EL OIDO EXTERNO,CELDA VACÍA,
30101,RECONSTRUCCION DE PABELLON AURICULAR - INCLUYE INJERTO DE CARTILAGO Y PIEL -         ,1-030101,RECONSTRUCCION DE PABELLON AURICULAR                  
30102,"OTOPLASTIA O RECONSTRUCCION DEL PABELLON (Cucurucho ansiforme, lobulo o defecto similar)                    ",1-030102,OTOPLASTIA O RECONST.PABELLON                         
30103,OTOPLASTIA DE LOBULO HENDIDO                  ,1-030103,OTOPLASTIA DE LOBULO HENDIDO.                         
30104,ESCISION COMPLETA O AMPUTACION DE PABELLON                 ,1-030104,ESCISION COMP.AMPUTACION PABELLON                     
30105,INCISION Y DRENAJE DE AURICULA. SUTURA DE PABELLON AURICULAR.                ,1-030105,INCISION Y DRENAJE DE AURICULA.                       
30106,CIRUGIA DE AGENESIA DE CONDUCTO AUDITIVO EXTERNO                 ,1-030106,CIRUG.AGENESIA COND.AUDIT.EXTERNO                     
30107,RESECCION DE OSTEOMA                          ,1-030107,RESECCION DE OSTEOMA.                                 
30108,EXTIRPACION DE COLOBOMA AURIS                     ,1-030108,EXTIRPACION DE COLOBOMA AURIS                         
30109,ESCISION DE LESION DE CONDUCTO AUDITIVO EXTERNO - INCLUYE BIOPSIA -              ,1-030109,ESCIS.LES.COND.AUDITIVO EXTERNO                       
03.02,OPERACIONES EN EL OIDO MEDIO,CELDA VACÍA,
30201,MIRINGOPLASTIA                                 ,1-030201,MIRINGOPLASTIA.                                       
30202,TIMPANOPLASTIA                               ,1-030202,TIMPANOPLASTIA.                                       
30203,MIRINGOTOMIA CON O SIN COLOCACION DE TUBO DE DRENAJE O VENTILACION (Timpanostomia) - UNI O BILATERAL -    ,1-030203,MIRINGOTOMIA C/S COLOC.TUBO DRENAJE                   
30204,CIRUGIA PLASTICA POR AGENESIA DE OIDO MEDIO                     ,1-030204,CIRU.PAST.AGENESIA OIDO MEDIO                         
30205,MOVILIZACION DEL ESTRIBO                    ,1-030205,MOVILIZACION DEL ESTRIBO.                             
30206,ESTAPEDECTOMIA                                 ,1-030206,ESTAPEDECTOMIA.                                       
30207,MASTOIDECTOMIA SIMPLE O RADICAL                   ,1-030207,MASTOIDECTOMIA SIMPLE O RADICAL                       
30208,ANTROTOMIA MASTOIDEA. CIERRE DE FISTULA MASTOIDEA              ,1-030208,ANTROTOMIA MASTOIDEA CIERRE DE FISTU                  
30209,PUNCION DE ANTRO MASTOIDEO                     ,1-030209,PUNCION DE ANTRO MASTOIDEO.                           
30210,CIRUGIA DEL GLOMUS YUGULARIS              ,1-030210,CIRUGIA DEL GLOMUS YUGULARES.                         
30211,CIRUGIA DE SEGUNDA Y TERCERA PORCIONES DEL NERVIO FACIAL               ,1-030211,CIRUGIA 2A/3A PORCION NERVIO FACIAL                   
30213,TIMPANOPLASTIA ENDOSCOPICA,,
30214,ESTAPEDECTOMIA ENDOSCOPICA,,
03.03,OPERACIONES EN EL OIDO INTERNO Y CONDUCTO AUDITIVO INTERNO (C.A.I),CELDA VACÍA,
30301,LABERINTECTOMIA                               ,1-030301,LABERINTECTOMIA.                                      
30302,FENESTRACION DEL CONDUCTO SEMICIRCULAR EXTERNO             ,1-030302,FENESTRACION DE COND.SEMICIRC.EXTER.                  
30303,CIRUGIA DEL SACO ENDOLINFATICO               ,1-030303,CIRUGIA DEL SACO ENDOLINFATICO.                       
30304,CIRUGIA DEL CONDUCTO AUDITIVO INTERNO Y SU CONTENIDO (facial y auditivo interno vestibular) - CUALQUIER VIA DE ABORDAJE -,1-030304,CIRUGIA DEL CONDUCTO AUDITIVO                         
30305,TRATAMIENTO QUIRURGICO DE FRACTURA DE PEÑASCO                       ,1-030305,TRATA.QUIRUR.FRACTU.PENASCO                           
30306,TRATAMIENTO QUIRURGICO DE NEURINOMA DEL ACUSTICO  - CUALQUIER VIA DE ABORDAJE -,1-030306,TRATAMIENTO QUIRURGICO DE NEURINOMA                   
30308,LABERINTECTOMIA ENDOSCOPICA,,
30309,CIRUGIA IMPLANTE COCLEAR                                   ,7-037020,IMPLANTE COCLEAR                                      
30310,CIRUGIA DE IMPLANTE COCLEAR ENDOSCOPICA,,
30311,RECAMBIO DEL PROCESADOR DEL HABLA,,
03.04,OPERACIONES EN LA NARIZ,CELDA VACÍA,
30401,ATRESIA DE COANAS PERMEABILIZACION POR ACCESO PALATINO,1-030401,ATRESIA DE COANAS PERMEABILIZACION ACCESO PALATINO    
30402,RESECCION TOTAL DE NARIZ                     ,1-030402,RESECCION TOTAL DE NARIZ.                             
30403,RECONSTRUCCION DIFERIDA DE PIRAMIDE NASAL (Con o sin colgajo),1-030403,RECONSTRUCCION DIFERIDA DE PIRAMIDE                   
30404,TRATAMIENTO QUIRURGICO DEL RINOFIMA               ,1-030404,TRATAMIENTO QUIRURGICO DEL RINOFINA                   
30405,ESCISION DE TUMORES ENDONASALES                   ,1-030405,ESCISION DE TUMORES ENDONASALES                       
30406,"RESECCION DE LESION LOCAL ENDONASAL  (de septum, cornetes, hematoma, septal, drenaje de septum, extirpacion de polipos)      ",1-030406,RESECCION DE LESION LOCAL ENDONASAL                   
30407,ESCISION DE POLIPO RETRO-COANAL                   ,1-030407,ESCISION DE POLIPO RETRO COANAL                       
30408,RINOPLASTIA CON INJERTO CUTANEO PEDICULADO (Con o sin injerto oseo cartilajinoso o implantes. Incluye toma de injerto)       ,1-030408,RINOPLASTIA CON INJERTO CUTANEO                       
30409,SEPTUMPLASTIA POR IMPLANTACION DE CARTILAGO AUTOGENO - Incluye toma del injerto -         ,1-030409,SEPTUMPLASTIA P/IMPLAN.CARTILAGO                      
30410,SEPTUMPLASTIA POR PERFORACION O IMPLANTACION DE ACRILICO EN NARIZ (Fosas Nasales)                 ,1-030410,SEPTUMPLASTIA IMPL.ACRILICO NARIZ                     
30411,RESECCION DE TABIQUE NASAL. OPERACIÓN DE KILLIAN                   ,1-030411,RESECCION DE TABIQUE NASAL                            
30412,TURBINECTOMIA PARCIAL O COMPLETA  SIMPLE (Unica o multiple)                    ,1-030412,TURBINECTOMIA PAR/COM SIMPLE                          
30413,SUTURA DE NARIZ. BIOPSIA DE NARIZ.                ,1-030413,SUTURA DE NARIZ. BIOPSIA DE NARIZ.                    
30415,RESECCION DE POLIPOS ENDOSINUSALES POR ANTROTOMIA POR VIDEOENDOSCOPIA ,,
30416,TRATAMIENTO ENDOVASCULAR DE LA EPISTAXIS,,
30417,TURBINECTOMIA CON LASER UNI O BILATERAL (CIRUGIA DE CORNETES),,
30417,TURBINECTOMIA CON LASER UNI O BILATERAL (CIRUGIA DE CORNETES),7-035019,TURBINECTOMIA CON LASER UNI O BILATERAL           
30418,CRIOCIRUGIA DE CORNETES                           ,7-039004,CRIOCIRUGIA DE CORNETES                               
03.05,OPERACIONES EN LOS SENOS PARANASALES,CELDA VACÍA,
30501,CIERRE DE FISTULA MENINGEA - CUALQUIER VIA DE ABORDAJE -                      ,1-030501,CIERRE FISTULA MENINGEA                               
30502,"SINUSOTOMIA COMBINADA FRONTAL, ETMOIDAL, ESFENOIDAL - UNILATERAL -          ",1-030502,SINUSOTOMIA COMBI.FRON.ETMOI.ESFEN.                   
30503,SINUSOTOMIA RADICAL COMBINADA FRONTAL ETMOIDAL Y ESFENOIDAL - BILATERAL - CUALQUIER VIA DE ABORDAJE           ,1-030503,SINUSOTOMIA COMB.FRONT.ETMOI.ESFENO.                  
30504,SINUSOTOMIA RADICAL FRONTAL - POR VIA EXTERNA -         ,1-030504,SINUSOTOMIA RADICAL FRONTAL P/VIA EX                  
30505,SINUSOTOMIA FRONTAL EXTERNA SIMPLE - TREPANOPUNCION -      ,1-030505,SINUSOTOMIA FRONTAL EXTERNA SIMPLE -                  
30506,SINUSOTOMIA ESFENOIDAL.                           ,1-030506,SINUSOTOMIA ESFENOIDAL.                               
30507,PUNCION DE SENO ESFENOIDAL.                       ,1-030507,PUNCION DE SENO ESFENOIDAL.                           
30508,ETMOIDECTOMIA INTERNA                          ,1-030508,ETMOIDECTOMIA INTERNA.                                
,30508,7-037017,MOD. ETMOIDECTOMIA INTERNA                        
30509,CIRUGIA DE TUMORES ETMOIDALES.                    ,1-030509,CIRUGIA DE TUMORES ETMOIDALES.                        
30510,ANTROTOMIA MAXILAR RADICAL / SINUSOTOMIA MAXILAR RADICAL - UNILATERAL -        ,1-030510,ANTRONOMIA/SINUSOTOMIA MAXILAR RADICAL                
30511,ANTROTOMIA MAXILAR RADICAL / SINUSOTOMIA MAXILAR RADICAL - BILATERAL -   ,1-030511,ANTROTOMIA MAXILAR RADICAL                            
30512,SINUSOTOMIA MAXILAR SIMPLE VENTANA ANTRAL - UNILATERAL -,1-030512,SINUSOTOMIA MAXILAR SIMPLE                            
30513,SINUSOTOMIA MAXILAR SIMPLE - BILATERAL -             ,1-030513,SINUSOTOMIA MAXILAR SIMPLE BILATERAL                  
30514,CIERRE DE FISTULA ORAL DE SENO MAXILAR            ,1-030514,CIERRE DE FISTULA ORAL DE SENO MAXILAR                
30515,PUNCION DE SENO CON O SIN INSERCION DE SONDA PARANASAL O BIOPSIA DE SENO PARANASAL - UNI O BILATERAL -          ,1-030515,PUN.SENO C/S INSERC.SONDA PARANASAL                   
30516,"CIRUGIA DE LA FOSA PTERIGOMAXILAR EXPLORATORIA (Escision de tumor, etc)       ",1-030516,CIRUGIA DE LA FOSA PTERIGOMAXILAR                     
30517,SINUSOTOMIA COMBINADA CON FIBRA OPTICA Y VIDEOSCOPIA,7-030517,SINUSOTOMIA COMBINADA CON FIBRA OPTICA Y VIDEOSCOP    
30518,SINUSOTOMIA RADICAL CON FIBRA OPTICA Y VIDEOSCOPIA,7-030518,SINUSOTOMIA RADICAL CON FIBRA OPTICA Y VIDEOSCOPIA    
30519,CIRUGIA DE LA FOSA PTERIGOMAXILAR CON VIDEOFIBROSCOPIA,7-030519,CIRUGIA DE LA FOSA PTERIGOMAXILAR CON VIDEOFIBROSC    
30521,SINUSOTOMIA COMBINADA BILATERAL ENDOSCOPICA,,
03.06,OPERACIONES EN LA LARINGE,CELDA VACÍA,
30601,LARINGECTOMIA RADICAL CON VACIAMIENTO DE CUELLO. OPERACIÓN COMANDO DE LARINGE.         ,1-030601,LARINGECTOMIA RADICAL C/VACIAMIENTO                   
30602,LARINGOFARINGECTOMIA                              ,1-030602,LARINGOFARINGECTOMIA                                  
30603,LARINGECTOMIA TOTAL.                              ,1-030603,LARINGECTOMIA TOTAL.                                  
30604,LARINGECTOMIA PARCIAL.                            ,1-030604,LARINGECTOMIA PARCIAL.                                
30605,LARINGOPLASTIA. CORDOPEXIA. ARITENOIDEOPEXIA              ,1-030605,LARINGOPLASTIA-CORDOPEXIA-ARITENOIDE                  
30606,LARINGOTOMIA MEDIANA E INFERIOR. LARINGOFISURA. TIROTOMIA. CRICOTIROTOMIA. LARINGORRAFIA                 ,1-030606,LARINGOTOMIA MEDIANA E INFERIOR                       
30607,"INCISION Y DRENAJE DE LARINGE. ABSCESO, PERICONDRITIS       ",1-030607,INCISION Y DRENAJE DE LARINGE -ABSCE                  
30608,MICROCIRUGIA DE LARINGE.                          ,1-030608,MICROCIRUGIA DE LARINGE.                              
30609,MICROCIRUGIA DE LARINGE CON LASER                 ,7-030609,MICROCIRUGIA DE LARINGE CON LASER                     
30610,TIROPLASTÍA POR MEDIALIZACIÓN,,
03.07,"OPERACIONES EN DIENTES, ENCIAS, MAXILAR INFERIOR",CELDA VACÍA,
30701,INCISION Y DRENAJE DE LESION DE ORIGEN DENTARIO                  ,1-030701,INCI.DREN.LESION ORIGEN DENTARIA                      
30702,EXTIRPACION DE GERMEN DENTARIO. AMELOBLASTOMA,,
30702,EXTIRPACION DE GERMEN DENTARIO. AMELOBLASTOMA,1-030702,EXTIRPACION DE GERMEN DENTARIO.                   
30703,GINGIVECTOMIA PARCIAL  - TUMORES -.                  ,1-030703,GINGIVECTOMIA PARCIAL -TUMORES-.                      
30704,GINGIVECTOMIA TOTAL AMPLIADA TUMORES              ,1-030704,GINGIVECTOMIA TOTAL AMPLIADA TUMORES                  
30705,OPERACION COMANDO DE ENCIA O DE TRIGONO RETROMOLAR CON VACIAMIENTO GANGLIONAR CERVICAL (Escision de lesion primaria),1-030705,OPERACION COMANDO DE ENCIA/TRIGONO                    
30706,BIOPSIA DE ENCIA. SUTURA DE ENCIA.                ,1-030706,BIOPSIA DE ENCIA  SUTURA DE ENCIA.                   
03.08,OPERACIONES EN LAS GLANDULAS Y CONDUCTOS SALIVALES,CELDA VACÍA,
30801,PAROTIDECTOMIA TOTAL                         ,1-030801,PAROTIDECTOMIA TOTAL.                                 
30802,OPERACION COMANDO DE PAROTIDA (Escision de lesion primaria y vaciamiento ganglionar cervical)              ,1-030802,OPERACION COMANDO DE PAROTIDA                         
30803,PAROTIDECTOMIA DE LOBULO SUPERFICIAL              ,1-030803,PAROTIDECTOMIA DE LOBULO SUPERFICIAL                  
30804,ESCISION RADICAL DE GLANDULA SUBMAXILAR               ,1-030804,ESCI.RADICAL DE GLANDULA SUBMAXILAR                   
30805,OPERACIÓN COMANDO DE GLANDULA SUBMAXILAR  (Escision de lesion primaria y vaciamiento ganglionar cervical)        ,1-030805,OPER.COMANDO DE GLANDULA SUBMAXILAR                   
30806,"INCISION Y DRENAJE DE GLANDULA PAROTIDA, SUBMAXILAR O SUS CONDUCTOS               ",1-030806,INCI.Y DRENAJE DE GLANDULA PAROTIDA                   
30807,BIOPSIA DE GLANDULA SALIVAL .EXTRACCION INCISIONAL DE CALCULOS SALIVALES            ,1-030807,BIOPSIA DE GLANDULA SALIVAL.EXTRAC.                   
30808,EXTIRPACION DE RANULA,,
30808,EXTIRPACION DE RANULA,1-030808,EXTIRPACION DE RANULA.                            
03.09,OPERACIONES EN LA BOCA ,CELDA VACÍA,
30901,OPERACION COMANDO PISO DE BOCA  (Escision de lesion primaria y vaciamiento ganglionar cervical)              ,1-030901,OPERACION COMANDO PISO DE BOCA                        
30902,ESCISION AMPLIADA DE MUCOSA YUGAL Y RECONSTRUCCION - INMEDIATA CON INJERTO O COLGAJO - (Incluye toma de injerto o preparacion de colgajo)           ,1-030902,ESCISION AMPLIADA DE MUCOSA YUGAL                     
30903,ESTOMATOPLASTIA CON INJERTO (Incluye toma de injerto)                 ,1-030903,ESTOMATOPLASTIA CON INJERTO                           
30904,INCISION Y DRENAJE DE PISO DE BOCA - BIOPSIA DE MUCOSA BUCAL - SUTURA DE BOCA (piso o cara mucosa de la mejilla)    ,1-030904,INCISION Y DRENAJE DE PISO DE BOCA -                  
30905,CIERRE DE FISTULA EXTERNA DE BOCA.                ,1-030905,CIERRE DE FISTULA EXTERNA DE BOCA.                    
30906,CIRUGIA ORTOGNATICA,,
03.10,OPERACIONES EN LOS LABIOS ,CELDA VACÍA,
31001,QUEILOPLASTIA. LABIO LEPORINO - UNILATERAL -         ,1-031001,QUEILOPLASTIA  LABIO LEPORINO  UNILATERAL           
31002,QUEILOPLASTIA. LABIO LEPORINO - BILATERAL -         ,1-031002,QUEILOPLASTIA  LABIO LEPORINO  BILATERAL            
31003,QUEILOPLASTIA CON PALATOPLASTIA - UNI O BILATERAL -                    ,1-031003,QUEILOPLASTIA UNI O BILATERAL                         
31004,RESECCION DE LABIO. ESCISION EN CUÑA  (Escision amplia de tumor maligno y sutura)                       ,1-031004,RESECCION DE LABIO                                    
31005,"QUEILOPLASTIA DE BERNARD, BOROW, ABBE EASTLANDER O SIMILAR (Escision de tumor de labio inferior y reconstruccion inmediata por deslizamiento y colgajo)                ",1-031005,QUEILOPLASTIA DE BERNARD                              
31006,QUEILOPLASTIA CON VACIAMIENTO GANGLIONAR SUPRAHIOIDEO              ,1-031006,QUEILOPLASTIA  C/VACIAMIENTO GANGLIO                 
31007,ESCISION LOCAL DE LESION DE LABIO.                ,1-031007,ESCISION LOCAL DE LESION DE LABIO.                    
31008,"INCISION Y DRENAJE DE LABIO, ABSCESO, SUTURA DE LABIO. BIOPSIA DE LABIO                      ",1-031008,INCISION Y DRENAJE DE LABIO                           
03.11,OPERACIONES EN LA LENGUA,CELDA VACÍA,
31101,OPERACION COMANDO DE LENGUA (Escision de lesion primaria y vaciamiento ganglionar cervical)                      ,1-031101,OPERACION COMANDO DE LENGUA                           
31102,GLOSECTOMIA SUBTOTAL.                             ,1-031102,GLOSECTOMIA SUBTOTAL.                                 
31103,ESCISION LOCAL DE LESION DE LENGUA.               ,1-031103,ESCISION LOCAL DE LESION DE LENGUA.                   
31104,GLOSOPLASTIA.                                     ,1-031104,GLOSOPLASTIA.                                         
31105,"GLOSOTOMIA CON DRENAJE DE ABSCESO, EXTRACCION DE CUERPO EXTRAÑO, SECCION FRENILLO, SUTURA, BIOPSIA DE LENGUA                 ",1-031105,GLOSOTOMIA CON DRENAJE DE ABSCESO                     
03.12,OPERACIONES EN EL PALADAR Y UVULA,CELDA VACÍA,
31201,PALATOPLASTIA - PALADAR BLANDO O DURO -              ,1-031201,PALATOPLASTIA -PALADAR BLANDO O DURO                  
31202,RESECCION PARCIAL DE PALADAR.                     ,1-031202,RESECCION PARCIAL DE PALADAR.                         
31203,RESECCION TOTAL DE PALADAR.                       ,1-031203,RESECCION TOTAL DE PALADAR.                           
31204,RESECCION TOTAL DE PALADAR Y RECONSTRUCCION INMEDIATA CON INJERTO O COLGAJO  (Incluye toma de injerto o preparacion de colgajo)                   ,1-031204,RESEC.TOT.PALADAR RECONS.INJERTO                      
31205,OPERACION COMANDO DE PALADAR BLANDO (Escision de lesion primaria y vaciamiento ganglionar cervical)                ,1-031205,OPERACION COMANDO DE PALADAR BLANDO                   
31206,"INCISION Y DRENAJE DE PALADAR, ABSCESO, SUTURA. BIOPSIA DE PALADAR                    ",1-031206,INCISION Y DRENAJE DE PALADAR                         
03.13,"OPERACIONES EN AMIGDALAS, ADENOIDES, FARINGE Y NASOFARINGE",CELDA VACÍA,
31301,"AMIGDALECTOMIA, ADENOIDECTOMIA                    ",1-031301,AMIGDALECTOMIA  ADENOIDECTOMIA                       
31302,"ESCISION O ELECTROCOAGULACION DE AMIGDALA LINGUAL, RESTO AMIGDALINO O TEJIDO LINFOIDEO-FARINGEO           ",1-031302,ESCI./ELECTROCOAGULACION DE AMIGDALA                  
31303,INCISION Y DRENAJE DE AMIGDALAS O TEJIDOS PERIAMIGDALINOS               ,1-031303,INCISION Y DRENAJE DE AMIGDALA                        
31304,OPERACION COMANDO DE FARINGE  (Escision de lesion primaria y vaciamiento ganglionar cervical)                                ,1-031304,OPERACION COMANDO DE FARINGE                          
31305,FARINGOPLASTIA.                                   ,1-031305,FARINGOPLASTIA.                                       
31306,FARINGUECTOMIA PARCIAL TUMORES                           ,1-031306,FARINGUECTOMIA PARCIAL                                
31307,ESCISCION DE DIVERTICULO FARINGOESOFAGICO O LESION LOCAL DE FARINGE (Fistula bronquial y/o quiste bronquial o vestigio)        ,1-031307,ESCIS.DIVERTICULO FARINGOESOFAGICO                    
,31307,7-037016,MOD. ESCISION DE LA FARINGE                       
31308,FARINGOTOMIA EXPLORACION EXTRACCION DE CUERPO EXTRAÑO - INCISION Y DRENAJE DE TEJIDO RETROFARINGEO -                          ,1-031308,FARINGOTOMIA -EXPLORACION                             
31309,CIERRE DE FARINGOSTOMA                           ,1-031309,CIERRE DE FARINGOSTOMA.                               
31310,SUTURA DE FARINGE                               ,1-031310,SUTURA DE FARINGE.                                    
31311,BIOPSIA DE FARINGE                            ,1-031311,BIOPSIA DE FARINGE.                                   
31312,ESCISION RADICAL DE LESION DE NASOFARINGE            ,1-031312,ESCISION RADICAL DE LESION DE NASOFA                  
31313,BIOPSIA DE LESION DE NASOFARINGE.                 ,1-031313,BIOPSIA DE LESION DE NASOFARINGE.                     
04.,04. OPERACIONES EN EL SISTEMA ENDOCRINO ,CELDA VACÍA,
04.01,OPERACIONES EN LAS GLANDULAS TIROIDES Y PARATIROIDES,CELDA VACÍA,
40101,"TIROIDECTOMIA TOTAL CON VACIAMIENTO GANGLIOLAR  - RADICAL, UNILATERAL    ",1-040101,TIROIDECTOMIA TOT.C/VACIAMIENTO GANGLIOLAR            
40102,"TIROIDECTOMIA TOTAL CON VACIAMIENTO GANGLIONAR - RADICAL, BILATERAL          ",1-040102,TIROIDECTOMIA TOTAL CON VACIAMIENTO                   
40103,TIROIDECTOMIA TOTAL                          ,1-040103,TIROIDECTOMIA TOTAL.                                  
40104,TIROIDECTOMIA SUB-TOTAL. HEMITIROIDECTOMIA           ,1-040104,TIROIDECTOMIA SUB-TOTAL-HEMITIROIDEC                  
40105,EXTIRPACION DE QUISTE TIROGLOSO,1-040105,EXTIRPACION DE QUISTE TIROGLOSO.                      
40106,PUNCION BIOPSIA DE TIROIDES                   ,1-040106,PUNCION BIOPSIA DE TIROIDES.                          
